Path	Record	Mode	Korean
Patch/Data/MercEdt/017.edt	2	fixed	아, 동료가 합류했군.
Patch/Data/MercEdt/017.edt	3	fixed	여기 지원이 필요해!
Patch/Data/MercEdt/017.edt	4	fixed	저 끔찍한 벌레 중 하나야.
Patch/Data/MercEdt/017.edt	5	fixed	저게 진짜가 아니라고 말해 줘. 깨어나면 사라져 있을 거라고.
Patch/Data/MercEdt/017.edt	6	fixed	그 괴물 벌레의 흔적이야.
Patch/Data/MercEdt/017.edt	7	fixed	분명 뭔가 들었어.
Patch/Data/MercEdt/017.edt	8	fixed	여기 냄새, 정말 역겨워.
Patch/Data/MercEdt/017.edt	9	fixed	직감상 충돌이 벌어질 것 같아.
Patch/Data/MercEdt/017.edt	10	fixed	이유는 모르겠지만, 여기에 벌레 인간들이 있는 것 같아.
Patch/Data/MercEdt/017.edt	11	fixed	저 벌레 인간들이 날 죽이지 못해도, 미치게 만들겠어!
Patch/Data/MercEdt/017.edt	12	fixed	누가 뭔가 두고 갔네.
Patch/Data/MercEdt/017.edt	13	fixed	저거 값나가는 건가?
Patch/Data/MercEdt/017.edt	14	fixed	총을 재장전해야겠어.
Patch/Data/MercEdt/017.edt	15	fixed	상처가 심하게 벌어졌어!
Patch/Data/MercEdt/017.edt	18	fixed	죽으면 안 돼, 시드니. 우린 닮은 점이 많잖아. 공통점도 많고... 난 우리가 함께 죽길 바랐는데. 아, 시드니...
Patch/Data/MercEdt/017.edt	19	fixed	분명 내가... 잠깐, 아니, 무슨 일이야?
Patch/Data/MercEdt/017.edt	20	fixed	빌어먹을... 총이... 안... 나가.
Patch/Data/MercEdt/017.edt	21	fixed	집중사격을 받고 있어!
Patch/Data/MercEdt/017.edt	22	fixed	내가 남자였다면 아기처럼 울고 있었겠지.
Patch/Data/MercEdt/017.edt	23	fixed	어머, 정신이 번쩍 들 만큼 아슬아슬했네.
Patch/Data/MercEdt/017.edt	24	fixed	이 각도에선 맞힐 수 없을 것 같아.
Patch/Data/MercEdt/017.edt	25	fixed	이 출혈은 저절로 멎지 않겠어.
Patch/Data/MercEdt/017.edt	26	fixed	완전히 지쳤어. 좀 자야겠어.
Patch/Data/MercEdt/017.edt	27	fixed	가슴이 아파.
Patch/Data/MercEdt/017.edt	28	fixed	잠이나 자, 찌질이!
Patch/Data/MercEdt/017.edt	29	fixed	짓이겨 버렸어! 맙소사, 속이 다 시원하네!
Patch/Data/MercEdt/017.edt	30	fixed	거즈만의 태도는 정말 질렸어. 몸을 그렇게 내보이고 다니니 여성의 지위를 50년은 후퇴시키는 거야.
Patch/Data/MercEdt/017.edt	31	fixed	그 리퍼는 완전히 변태 자식이야. 엄마 젖을 너무 오래 먹었나 봐.
Patch/Data/MercEdt/017.edt	32	fixed	검피는 대체 뭐가 문제야? 그렇게 똑똑한 사람이 어떻게 저렇게 역겨운 지저분이가 될 수 있지? 부모가 사촌이었나 봐.
Patch/Data/MercEdt/017.edt	33	fixed	내가 마이크를 죽였어! 왠지 내가 중요한 사람이 된 기분이네.
Patch/Data/MercEdt/017.edt	34	fixed	하하하하... 미안. 사실 웃을 일은 아니지.
Patch/Data/MercEdt/017.edt	35	fixed	내가 두 살 때 오빠가 침대에 거미를 숨겨 놓은 뒤로 벌레 공포증이 생겼어... 특히 크고 흉측한 건 질색이야.
Patch/Data/MercEdt/017.edt	36	fixed	다 처리됐어.
Patch/Data/MercEdt/017.edt	37	fixed	그런 건 졸병한테 시켜.
Patch/Data/MercEdt/017.edt	38	fixed	솔직히 말해서 데이드라나, 화장 밑의 얼굴은... 엉망이네!
Patch/Data/MercEdt/017.edt	39	fixed	아무나 엄마가 될 수 있는 건 아니지... 이 년아.
Patch/Data/MercEdt/017.edt	40	fixed	천박한 쓰레기 같으니!
Patch/Data/MercEdt/017.edt	41	fixed	내가 이런 지옥 같은 곳에서 시간을 낭비하고 있다니 믿을 수가 없어.
Patch/Data/MercEdt/017.edt	42	fixed	이 팀엔 밑바닥 자칼 흉내쟁이 말고 좀 더 수준 높은 용병이 필요해.
Patch/Data/MercEdt/017.edt	43	fixed	공중 공격이야! 조심해!
Patch/Data/MercEdt/017.edt	44	fixed	이런 싸구려 장비라니 믿을 수가 없네.
Patch/Data/MercEdt/017.edt	45	fixed	정말이지, 다른 사람들이 나한테 배울 수 있는 팀에 있어야 해.
Patch/Data/MercEdt/017.edt	46	fixed	자기 외모 관리도 엉망인 용병은 전투에서도 엉망일 가능성이 높아.
Patch/Data/MercEdt/017.edt	47	fixed	날마다, 모든 면에서, 난 점점 더 나아지고 있어.
Patch/Data/MercEdt/017.edt	48	fixed	내가 훨씬 나은 행동 방안을 생각해낼 수 있을 것 같아.
Patch/Data/MercEdt/017.edt	49	fixed	점쟁이가 아니어도 저게 안 될 거란 건 알 수 있었어.
Patch/Data/MercEdt/017.edt	50	fixed	아, 알겠네. 유능한 용병보다 수영복 모델을 고용하겠다는 거군. 원한다면 폭스를 고용해. 하지만 내가 좋아할 거라 기대하진 마.
Patch/Data/MercEdt/017.edt	51	fixed	그 리퍼라는 남자는 위험해. 심각하게 정신이 나갔어. 그가 온다는 걸 알았다면 여기 있지 않았을 거야.
Patch/Data/MercEdt/017.edt	54	fixed	시드니가 마음에 든다 했지. 난 사람 보는 눈이 정확하거든.
Patch/Data/MercEdt/017.edt	55	fixed	기다려야겠어. 이 일이 어떻게 될지 아직 확신이 안 서.
Patch/Data/MercEdt/017.edt	56	fixed	이런, 저기 마이크야. 곤란해졌네.
Patch/Data/MercEdt/017.edt	57	fixed	젠장! 앞이 안 보여.
Patch/Data/MercEdt/017.edt	58	fixed	난 절대 이걸 해내지 못할 거야.
Patch/Data/MercEdt/017.edt	59	fixed	말이 통할 만한 사람이군.
Patch/Data/MercEdt/017.edt	60	fixed	적이 여기 있다는 건 알아. 무슨 짓을 꾸미고 있을지 몰라.
Patch/Data/MercEdt/017.edt	61	fixed	적이 이 지역을 떠났다는 말에 내가 넘어갈 리 없어.
Patch/Data/MercEdt/017.edt	63	fixed	총을 잘 돌보면, 총도 널 잘 지켜줄 거야.
Patch/Data/MercEdt/017.edt	64	fixed	저 버릇없는 조이 그레이엄이군. 귀를 잡아 들어 올려야겠어.
Patch/Data/MercEdt/017.edt	65	fixed	걱정 마, 미겔. 나와 내 능력이 당신과 반군을 도울 거라는 걸 전적으로 믿어도 돼.
Patch/Data/MercEdt/017.edt	66	fixed	좋아! 모두 저승에서 제자리를 찾았군. 딱 어울리는 곳이지!
Patch/Data/MercEdt/017.edt	67	fixed	누가 우리 보급품을 가져갔어. 감히.
Patch/Data/MercEdt/017.edt	68	fixed	안됐네. 그래도 이게 최선이었을 거라는 느낌이 들어.
Patch/Data/MercEdt/017.edt	69	fixed	손톱 멋진데!
Patch/Data/MercEdt/017.edt	70	fixed	위대한 행동! 눈부신 솜씨. 내 성과에 황홀하고, 신나고, 뿌듯해. 내가 기대했던 그대로야. 아주 잘했어.
Patch/Data/MercEdt/017.edt	71	fixed	적도 상대가 누군지 알았던 모양이야. 퇴각했어.
Patch/Data/MercEdt/017.edt	72	fixed	피곤해. 자고 나면 다시 완벽해질 거야.
Patch/Data/MercEdt/017.edt	73	fixed	베개에서 일어나 다시 일하러 왔어.
