Path	Record	Mode	Korean
Patch/Data-1.13/MercEdt/252.EDT	1	fixed	조심해! 나쁜 사람이야!
Patch/Data-1.13/MercEdt/252.EDT	2	fixed	저 낯선 사람은 날 못 봐.
Patch/Data-1.13/MercEdt/252.EDT	3	fixed	나쁜 놈들이 있어!
Patch/Data-1.13/MercEdt/252.EDT	4	fixed	믿을 수가 없어.
Patch/Data-1.13/MercEdt/252.EDT	5	fixed	정말 너한테 손대기 싫어.
Patch/Data-1.13/MercEdt/252.EDT	6	fixed	누구나 실수는 해.
Patch/Data-1.13/MercEdt/252.EDT	7	fixed	뭔가 진짜 이상한 일이 벌어지고 있어!
Patch/Data-1.13/MercEdt/252.EDT	8	fixed	뭔가 진짜 이상한 일이 벌어지고 있어!
Patch/Data-1.13/MercEdt/252.EDT	9	fixed	더 안전한 곳을 찾아볼래.
Patch/Data-1.13/MercEdt/252.EDT	10	fixed	신문에 나온 걸 전부 믿으면 안 돼.
Patch/Data-1.13/MercEdt/252.EDT	11	fixed	여기선 살아남기가 너무 힘들어!
Patch/Data-1.13/MercEdt/252.EDT	12	fixed	뭔가 보여.
Patch/Data-1.13/MercEdt/252.EDT	13	fixed	뭔가 보여.
Patch/Data-1.13/MercEdt/252.EDT	14	fixed	총알 좀 더 줘!
Patch/Data-1.13/MercEdt/252.EDT	15	fixed	아이들한테... 작별 인사 전해 줘... 난 못 버틸 것 같아.
Patch/Data-1.13/MercEdt/252.EDT	19	fixed	지시가 없으면 난 아무것도 못 해.
Patch/Data-1.13/MercEdt/252.EDT	20	fixed	총이 안 나가!
Patch/Data-1.13/MercEdt/252.EDT	21	fixed	난... 멸종하고 싶지 않아.
Patch/Data-1.13/MercEdt/252.EDT	22	fixed	한 대 맞았어.
Patch/Data-1.13/MercEdt/252.EDT	23	fixed	누가 날 해치려고 해!
Patch/Data-1.13/MercEdt/252.EDT	24	fixed	못 해낼 것 같아.
Patch/Data-1.13/MercEdt/252.EDT	25	fixed	다쳤어!
Patch/Data-1.13/MercEdt/252.EDT	26	fixed	정말 녹초가 됐어...
Patch/Data-1.13/MercEdt/252.EDT	27	fixed	아파.
Patch/Data-1.13/MercEdt/252.EDT	28	fixed	미안...
Patch/Data-1.13/MercEdt/252.EDT	29	fixed	미안...
Patch/Data-1.13/MercEdt/252.EDT	33	fixed	이제 착한 다이노는 끝이야!
Patch/Data-1.13/MercEdt/252.EDT	34	fixed	안 돼! 또야!
Patch/Data-1.13/MercEdt/252.EDT	35	fixed	오늘 정말 재수 없는 날이야.
Patch/Data-1.13/MercEdt/252.EDT	36	fixed	꼼짝 못 하게 됐네, 여러분! 다시 해야겠어.
Patch/Data-1.13/MercEdt/252.EDT	37	fixed	자존심 더 상하기 전에 그만둘래.
Patch/Data-1.13/MercEdt/252.EDT	38	fixed	넌 벌을 받아야 해!
Patch/Data-1.13/MercEdt/252.EDT	39	fixed	괜찮았어! 그래도 예전 직업을 되찾고 싶어.
Patch/Data-1.13/MercEdt/252.EDT	40	fixed	좀 더 내 권리를 주장해야겠어.
Patch/Data-1.13/MercEdt/252.EDT	41	fixed	팀 마스코트 일이라도 구할 수 있을까...
Patch/Data-1.13/MercEdt/252.EDT	42	fixed	파이어리츠에서 새 마스코트를 찾는다고 들었어.
Patch/Data-1.13/MercEdt/252.EDT	43	fixed	더 안전한 곳을 찾아볼래.
Patch/Data-1.13/MercEdt/252.EDT	44	fixed	망가진 것 같아.
Patch/Data-1.13/MercEdt/252.EDT	45	fixed	그 바보들이 나 대신 여자를 썼다니 믿을 수가 없어! 그 애들이 거짓말한 거야. 애들은 거짓말도 하잖아. 특히 그 키 작고 뚱뚱한 꼬마.
Patch/Data-1.13/MercEdt/252.EDT	46	fixed	그 멍청한 제작자들도 마음을 바꿔서 날 다시 고용할 거야! 난 알아! 내 후임은 그 일을 감당 못 할 거야.
Patch/Data-1.13/MercEdt/252.EDT	47	fixed	내 가장 큰 장점은 신뢰할 수 있다는 거라고 생각해... 도움이 됐으면 좋겠네.
Patch/Data-1.13/MercEdt/252.EDT	48	fixed	또 해고당할까 봐 너무 무서워.
Patch/Data-1.13/MercEdt/252.EDT	49	fixed	이제 그 일을 절대 못 하겠어.
Patch/Data-1.13/MercEdt/252.EDT	55	fixed	계산 좀 다시 배워야겠네! 돈이 부족하잖아.
Patch/Data-1.13/MercEdt/252.EDT	56	fixed	넌 정말 썩은 사과야!
Patch/Data-1.13/MercEdt/252.EDT	57	fixed	아파.
Patch/Data-1.13/MercEdt/252.EDT	58	fixed	해낼 수 있을 줄 알았는데.
Patch/Data-1.13/MercEdt/252.EDT	59	fixed	나중에 다시 연락해야겠어.
